#timestamp x y z qx qy qz qw id
17.622000 0.094100 -0.000113 -0.100377 0.707131 -0.707082 -0.000186 0.000323 1
18.670000 0.340490 -0.000421 -0.101108 0.707150 -0.707063 -0.000057 0.000450 2
19.804000 0.658775 -0.003065 -0.099861 0.707138 -0.707072 -0.001345 0.001670 3
21.001000 1.069461 -0.003681 -0.100363 -0.707074 0.707137 0.001144 -0.001435 4
22.002000 1.473309 -0.006117 -0.099952 -0.706877 0.707335 0.001118 -0.001249 5
23.101000 1.906243 -0.006783 -0.095628 -0.706967 0.707245 0.001079 -0.001093 6
24.102000 2.396633 -0.009606 -0.094818 -0.706991 0.707222 0.001112 -0.000859 7
25.119000 2.948155 -0.009669 -0.093183 -0.706936 0.707276 0.001090 -0.000941 8
26.215000 3.522058 -0.007945 -0.092069 -0.706837 0.707376 0.000765 -0.000863 9
27.282000 4.082054 -0.006042 -0.084092 -0.706777 0.707435 0.000909 -0.001332 10
28.305000 4.722396 -0.000117 -0.084266 -0.707017 0.707196 0.000062 -0.000864 11
29.332000 5.359872 -0.003365 -0.080845 -0.707086 0.707128 -0.000570 0.000087 12
30.377000 6.020613 -0.002579 -0.077085 -0.707060 0.707153 -0.000694 0.000142 13
31.388000 6.684190 0.000171 -0.073036 -0.706981 0.707232 -0.000245 -0.000600 14
32.429000 7.392748 -0.003062 -0.069976 -0.706952 0.707259 -0.001528 0.001089 15
33.547000 8.035357 -0.001188 -0.062673 0.707171 -0.707034 0.002767 -0.002128 16
34.728000 8.888577 0.005500 -0.061723 -0.707026 0.707186 -0.001650 0.000042 17
35.732000 9.557021 0.003237 -0.058067 -0.707004 0.707207 -0.001851 0.000442 18
36.817000 10.279883 0.003694 -0.054853 -0.706955 0.707257 -0.001578 0.000165 19
37.959000 11.056011 0.005958 -0.049776 -0.707018 0.707181 -0.004038 0.002272 20
39.051000 11.771428 0.006164 -0.043464 -0.706783 0.707421 -0.003385 0.001490 21
40.196000 12.429094 0.004836 -0.037738 -0.706500 0.707705 -0.003028 0.001202 22
41.228000 13.024224 -0.000971 -0.028583 -0.705910 0.708288 -0.003768 0.002126 23
42.235000 13.617002 -0.004344 -0.023436 -0.705855 0.708336 -0.004473 0.002945 24
43.339000 14.217181 -0.006331 -0.016675 -0.705809 0.708382 -0.004426 0.002899 25
44.347000 14.756175 -0.008762 -0.012844 -0.705655 0.708533 -0.004739 0.003234 26
45.421000 15.267666 -0.010804 -0.006510 -0.705662 0.708524 -0.004817 0.003381 27
46.541000 15.787990 -0.014109 -0.000874 -0.705636 0.708541 -0.005482 0.004168 28
47.618000 16.280275 -0.014601 0.002193 -0.705768 0.708416 -0.004998 0.003597 29
48.622000 16.538973 -0.014730 0.005168 -0.705687 0.708499 -0.004915 0.003365 30
49.741000 16.950636 -0.014698 0.010938 -0.705635 0.708534 -0.006194 0.004495 31
50.795000 17.274195 -0.022850 0.008566 -0.705430 0.708753 -0.004852 0.003706 32
51.808000 17.489702 -0.020721 0.009707 -0.705175 0.709010 -0.004829 0.003154 33
52.927000 17.637926 -0.021462 0.011127 -0.705151 0.709026 -0.005484 0.003834 34
62.802000 17.725510 0.092132 0.011003 -0.705123 0.709075 -0.003478 0.001464 43
67.098000 17.727924 0.215186 0.011135 -0.705149 0.709050 -0.003304 0.001573 47
70.262000 17.730219 0.328850 0.011958 -0.705155 0.709044 -0.003289 0.001481 50
73.430000 17.728174 0.441412 0.010823 -0.705063 0.709135 -0.003311 0.001714 53
76.615000 17.732555 0.564619 0.011098 -0.705061 0.709138 -0.003145 0.001459 56
79.810000 17.732397 0.681556 0.010424 -0.705127 0.709072 -0.003200 0.001527 59
83.032000 17.731138 0.790787 0.011015 -0.705131 0.709068 -0.003360 0.001639 62
87.685000 17.729538 0.913338 0.010809 -0.705135 0.709063 -0.003341 0.001864 66
97.214000 17.489830 0.993912 0.007674 -0.704992 0.709185 -0.005502 0.003695 75
98.263000 17.276152 0.990574 0.006931 -0.705043 0.709136 -0.005140 0.003827 76
99.372000 16.979366 0.992496 0.004503 -0.704938 0.709242 -0.004974 0.003651 77
100.379000 16.660360 0.997398 0.002881 -0.705051 0.709118 -0.006008 0.004305 78
101.476000 16.254690 1.000161 -0.001380 -0.705048 0.709119 -0.006182 0.004467 79
102.506000 15.827200 0.997625 -0.003090 -0.705107 0.709065 -0.005635 0.004430 80
103.604000 15.314821 1.005110 -0.008723 -0.705177 0.708988 -0.006264 0.004575 81
104.764000 14.726764 0.993403 -0.009440 -0.705833 0.708366 -0.002985 0.002769 82
105.880000 14.122262 1.002254 -0.015042 -0.706181 0.707969 -0.007248 0.005985 83
107.077000 13.433184 1.001282 -0.023354 -0.706512 0.707667 -0.005473 0.004263 84
108.237000 12.743285 0.999328 -0.033042 -0.706534 0.707638 -0.005901 0.004776 85
109.274000 12.114764 1.001210 -0.040583 -0.706562 0.707603 -0.006476 0.005052 86
110.337000 11.449026 0.998091 -0.047635 -0.706255 0.707938 -0.004303 0.003049 87
111.497000 10.703002 1.001553 -0.049750 -0.705920 0.708253 -0.006016 0.004304 88
112.573000 10.005223 1.000612 -0.055180 -0.705994 0.708200 -0.004182 0.002851 89
113.637000 9.298772 1.003145 -0.061675 -0.706034 0.708158 -0.004376 0.003097 90
114.743000 8.561659 1.008860 -0.066243 -0.706032 0.708169 -0.003598 0.002004 91
115.894000 7.799188 1.008924 -0.070666 -0.705897 0.708291 -0.004661 0.003469 92
116.908000 7.123540 1.012392 -0.074678 -0.706071 0.708117 -0.004748 0.003370 93
118.003000 6.412977 1.014807 -0.079252 -0.706031 0.708164 -0.004074 0.002799 94
119.110000 5.698923 1.015810 -0.083129 -0.705984 0.708207 -0.004378 0.003280 95
120.191000 5.009228 1.019106 -0.091092 -0.706080 0.708116 -0.004041 0.002598 96
121.248000 4.375123 1.021512 -0.095418 -0.706056 0.708145 -0.003473 0.002033 97
122.307000 3.752731 1.022745 -0.100674 -0.705991 0.708208 -0.003651 0.002305 98
123.327000 3.198924 1.025375 -0.102921 -0.706049 0.708153 -0.003244 0.001776 99
124.357000 2.635576 1.026284 -0.114045 -0.706180 0.708023 -0.003172 0.001777 100
125.387000 2.127564 1.032713 -0.119837 -0.705912 0.708276 -0.004995 0.003032 101
126.484000 1.623438 1.033955 -0.127363 -0.705704 0.708485 -0.004721 0.002933 102
127.596000 1.211595 1.035365 -0.118738 -0.705925 0.708276 -0.003448 0.001526 103
128.670000 0.820487 1.037237 -0.122191 -0.705876 0.708332 -0.002018 0.000095 104
129.673000 0.514699 1.038105 -0.123780 -0.705830 0.708379 -0.001509 -0.000456 105
130.744000 0.235497 1.038457 -0.125347 -0.705838 0.708371 -0.001832 -0.000077 106
131.784000 0.030111 1.041436 -0.127743 -0.705696 0.708513 -0.001703 -0.000455 107
132.898000 -0.126304 1.039740 -0.129768 -0.705624 0.708584 -0.001926 0.000028 108
142.587000 -0.200422 1.149191 -0.128833 -0.705646 0.708555 -0.003625 0.001118 117
146.983000 -0.198311 1.273589 -0.128707 -0.705720 0.708481 -0.003484 0.001101 121
150.275000 -0.201473 1.381767 -0.129201 -0.705748 0.708453 -0.003448 0.001558 124
153.619000 -0.197912 1.502874 -0.129469 -0.705682 0.708520 -0.003236 0.001421 127
156.942000 -0.196456 1.624170 -0.129895 -0.705684 0.708519 -0.003033 0.001619 130
160.257000 -0.198698 1.742367 -0.129578 -0.705671 0.708531 -0.003142 0.001717 133
163.424000 -0.190953 1.844036 -0.127756 -0.705518 0.708685 -0.002779 0.001275 136
167.767000 -0.197067 1.953723 -0.129720 -0.705555 0.708646 -0.002984 0.001808 140
176.289000 -0.087793 2.029410 -0.128681 -0.705531 0.708678 -0.000262 -0.001439 148
177.357000 0.066439 2.033252 -0.128717 -0.705410 0.708797 -0.002045 -0.000011 149
178.403000 0.288862 2.031595 -0.125674 -0.705387 0.708821 -0.000645 -0.001258 150
179.419000 0.554939 2.029156 -0.124592 -0.705333 0.708875 -0.000825 -0.001022 151
180.575000 0.915869 2.032937 -0.124061 -0.705219 0.708987 -0.001157 -0.001238 152
181.625000 1.312929 2.027266 -0.119744 -0.705169 0.709038 -0.000726 -0.001269 153
182.630000 1.723590 2.023868 -0.117504 -0.705212 0.708995 -0.001422 -0.000437 154
183.677000 2.200957 2.019898 -0.114292 -0.705080 0.709126 0.000077 -0.001830 155
184.702000 2.695829 2.019640 -0.111522 -0.705236 0.708971 -0.000946 -0.001084 156
185.895000 3.323719 2.011584 -0.104786 -0.705166 0.709042 -0.000352 -0.001166 157
186.988000 3.936902 2.009246 -0.101198 -0.705126 0.709080 -0.001566 -0.000003 158
188.060000 4.566101 2.007720 -0.096193 -0.705110 0.709089 -0.003184 0.001374 159
